Parameters Labels,Par_0,Wavelength0,Exp_0,,,
,0.0000000E+0,1.6641366E+0,0.0000000E+0,,,
,0.0000000E+0,1.6681369E+0,1.0000000E+0,,,
,0.0000000E+0,1.6721372E+0,0.0000000E+0,,,
,0.0000000E+0,1.6761376E+0,0.0000000E+0,,,
,0.0000000E+0,1.6801379E+0,0.0000000E+0,,,
,0.0000000E+0,1.6841382E+0,0.0000000E+0,,,
,0.0000000E+0,1.6881386E+0,0.0000000E+0,,,
,0.0000000E+0,1.6921389E+0,0.0000000E+0,,,
,0.0000000E+0,1.6961392E+0,0.0000000E+0,,,
,0.0000000E+0,1.7001395E+0,0.0000000E+0,,,
,0.0000000E+0,1.7041399E+0,0.0000000E+0,,,
,0.0000000E+0,1.7081402E+0,1.0000000E+0,,,
,0.0000000E+0,1.7121405E+0,1.0000000E+0,,,
