Parameters Labels,Par_0,Wavelength0,Exp_0,,,
,0.0000000E+0,1.6001297E+0,8.0000000E+0,,,
,0.0000000E+0,1.6041300E+0,8.0000000E+0,,,
,0.0000000E+0,1.6081303E+0,2.0000000E+0,,,
,0.0000000E+0,1.6121307E+0,7.0000000E+0,,,
,0.0000000E+0,1.6161310E+0,1.0000000E+1,,,
,0.0000000E+0,1.6201313E+0,6.0000000E+0,,,
,0.0000000E+0,1.6241316E+0,4.0000000E+0,,,
,0.0000000E+0,1.6281320E+0,4.0000000E+0,,,
,0.0000000E+0,1.6321323E+0,3.0000000E+0,,,
,0.0000000E+0,1.6361326E+0,7.0000000E+0,,,
,0.0000000E+0,1.6401329E+0,4.0000000E+0,,,
,0.0000000E+0,1.6441333E+0,6.0000000E+0,,,
,0.0000000E+0,1.6481336E+0,8.0000000E+0,,,
,0.0000000E+0,1.6521339E+0,8.0000000E+0,,,
,0.0000000E+0,1.6561342E+0,3.0000000E+0,,,
,0.0000000E+0,1.6601346E+0,3.0000000E+0,,,
,0.0000000E+0,1.6641349E+0,6.0000000E+0,,,
,0.0000000E+0,1.6681352E+0,2.0000000E+0,,,
,0.0000000E+0,1.6721355E+0,1.0000000E+0,,,
,0.0000000E+0,1.6761358E+0,1.0000000E+1,,,
,0.0000000E+0,1.6801362E+0,4.0000000E+0,,,
,0.0000000E+0,1.6841365E+0,4.0000000E+0,,,
,0.0000000E+0,1.6881368E+0,6.0000000E+0,,,
,0.0000000E+0,1.6921371E+0,3.0000000E+0,,,
,0.0000000E+0,1.6961375E+0,9.0000000E+0,,,
,0.0000000E+0,1.7001378E+0,3.0000000E+0,,,
,0.0000000E+0,1.7041381E+0,6.0000000E+0,,,
,0.0000000E+0,1.7081384E+0,9.0000000E+0,,,
,0.0000000E+0,1.7121388E+0,3.0000000E+0,,,
,0.0000000E+0,1.7161391E+0,6.0000000E+0,,,
