Parameters Labels,Par_0,Wavelength0,Exp_0,,,
,0.0000000E+0,1.0840901E+0,9.0000000E+0,,,
,0.0000000E+0,1.0880904E+0,4.0000000E+0,,,
,0.0000000E+0,1.0920908E+0,6.0000000E+0,,,
,0.0000000E+0,1.0960911E+0,4.0000000E+0,,,
,0.0000000E+0,1.1000914E+0,7.0000000E+0,,,
,0.0000000E+0,1.1040918E+0,3.0000000E+0,,,
,0.0000000E+0,1.1080921E+0,3.0000000E+0,,,
,0.0000000E+0,1.1120924E+0,1.0000000E+0,,,
,0.0000000E+0,1.1160927E+0,2.0000000E+0,,,
,0.0000000E+0,1.1200931E+0,7.0000000E+0,,,
,0.0000000E+0,1.1240934E+0,6.0000000E+0,,,
,0.0000000E+0,1.1280937E+0,4.0000000E+0,,,
,0.0000000E+0,1.1320941E+0,3.0000000E+0,,,
,0.0000000E+0,1.1360944E+0,1.1000000E+1,,,
,0.0000000E+0,1.1400947E+0,6.0000000E+0,,,
,0.0000000E+0,1.1440951E+0,6.0000000E+0,,,
,0.0000000E+0,1.1480954E+0,3.0000000E+0,,,
,0.0000000E+0,1.1520957E+0,3.0000000E+0,,,
,0.0000000E+0,1.1560961E+0,4.0000000E+0,,,
,0.0000000E+0,1.1600964E+0,2.0000000E+0,,,
,0.0000000E+0,1.1640967E+0,4.0000000E+0,,,
,0.0000000E+0,1.1680971E+0,3.0000000E+0,,,
,0.0000000E+0,1.1720974E+0,8.0000000E+0,,,
,0.0000000E+0,1.1760977E+0,4.0000000E+0,,,
,0.0000000E+0,1.1800981E+0,9.0000000E+0,,,
,0.0000000E+0,1.1840984E+0,6.0000000E+0,,,
,0.0000000E+0,1.1880987E+0,9.0000000E+0,,,
,0.0000000E+0,1.1920991E+0,5.0000000E+0,,,
,0.0000000E+0,1.1960994E+0,6.0000000E+0,,,
,0.0000000E+0,1.2000997E+0,3.0000000E+0,,,
,0.0000000E+0,1.2041001E+0,2.0000000E+0,,,
,0.0000000E+0,1.2081004E+0,6.0000000E+0,,,
,0.0000000E+0,1.2121007E+0,5.0000000E+0,,,
,0.0000000E+0,1.2161011E+0,5.0000000E+0,,,
,0.0000000E+0,1.2201014E+0,9.0000000E+0,,,
,0.0000000E+0,1.2241017E+0,4.0000000E+0,,,
,0.0000000E+0,1.2281021E+0,8.0000000E+0,,,
,0.0000000E+0,1.2321024E+0,2.0000000E+0,,,
,0.0000000E+0,1.2361027E+0,2.0000000E+0,,,
,0.0000000E+0,1.2401031E+0,7.0000000E+0,,,
,0.0000000E+0,1.2441034E+0,7.0000000E+0,,,
,0.0000000E+0,1.2481037E+0,3.0000000E+0,,,
,0.0000000E+0,1.2521041E+0,6.0000000E+0,,,
,0.0000000E+0,1.2561044E+0,7.0000000E+0,,,
,0.0000000E+0,1.2601047E+0,0.0000000E+0,,,
,0.0000000E+0,1.2641050E+0,8.0000000E+0,,,
,0.0000000E+0,1.2681054E+0,6.0000000E+0,,,
,0.0000000E+0,1.2721057E+0,4.0000000E+0,,,
,0.0000000E+0,1.2761060E+0,3.0000000E+0,,,
,0.0000000E+0,1.2801064E+0,1.0000000E+1,,,
,0.0000000E+0,1.2841067E+0,3.0000000E+0,,,
,0.0000000E+0,1.2881070E+0,7.0000000E+0,,,
,0.0000000E+0,1.2921074E+0,3.0000000E+0,,,
,0.0000000E+0,1.2961077E+0,9.0000000E+0,,,
,0.0000000E+0,1.3001080E+0,0.0000000E+0,,,
,0.0000000E+0,1.3041084E+0,4.0000000E+0,,,
,0.0000000E+0,1.3081087E+0,7.0000000E+0,,,
,0.0000000E+0,1.3121090E+0,8.0000000E+0,,,
,0.0000000E+0,1.3161094E+0,4.0000000E+0,,,
,0.0000000E+0,1.3201097E+0,2.0000000E+0,,,
,0.0000000E+0,1.3241100E+0,7.0000000E+0,,,
,0.0000000E+0,1.3281104E+0,3.0000000E+0,,,
,0.0000000E+0,1.3321107E+0,6.0000000E+0,,,
,0.0000000E+0,1.3361110E+0,4.0000000E+0,,,
,0.0000000E+0,1.3401114E+0,5.0000000E+0,,,
,0.0000000E+0,1.3441117E+0,3.0000000E+0,,,
,0.0000000E+0,1.3481120E+0,7.0000000E+0,,,
,0.0000000E+0,1.3521124E+0,4.0000000E+0,,,
,0.0000000E+0,1.3561127E+0,4.0000000E+0,,,
,0.0000000E+0,1.3601130E+0,3.0000000E+0,,,
,0.0000000E+0,1.3641134E+0,3.0000000E+0,,,
,0.0000000E+0,1.3681137E+0,6.0000000E+0,,,
,0.0000000E+0,1.3721140E+0,4.0000000E+0,,,
,0.0000000E+0,1.3761144E+0,2.0000000E+0,,,
,0.0000000E+0,1.3801147E+0,5.0000000E+0,,,
,0.0000000E+0,1.3841150E+0,4.0000000E+0,,,
,0.0000000E+0,1.3881154E+0,6.0000000E+0,,,
,0.0000000E+0,1.3921157E+0,2.0000000E+0,,,
,0.0000000E+0,1.3961160E+0,5.0000000E+0,,,
,0.0000000E+0,1.4001164E+0,5.0000000E+0,,,
,0.0000000E+0,1.4041167E+0,3.0000000E+0,,,
,0.0000000E+0,1.4081170E+0,9.0000000E+0,,,
,0.0000000E+0,1.4121173E+0,1.0000000E+0,,,
,0.0000000E+0,1.4161177E+0,4.0000000E+0,,,
,0.0000000E+0,1.4201180E+0,1.1000000E+1,,,
,0.0000000E+0,1.4241183E+0,6.0000000E+0,,,
,0.0000000E+0,1.4281187E+0,6.0000000E+0,,,
,0.0000000E+0,1.4321190E+0,4.0000000E+0,,,
,0.0000000E+0,1.4361193E+0,4.0000000E+0,,,
,0.0000000E+0,1.4401197E+0,7.0000000E+0,,,
,0.0000000E+0,1.4441200E+0,3.0000000E+0,,,
,0.0000000E+0,1.4481203E+0,3.0000000E+0,,,
